80,82,77,9,35,44,76,31,78,81,78,78,80,19,75,79,80,69,72,82,21,83,70,47,44,81,75,51,43,73,78,75,69,10,41,81,72,82,1,75,51,80,78,77,41,83,73,22,50,57,69,25,44,75,9,81,40,38,51,3,84,15,74,77,77,2,74,83,78,72,57,69,67,78,32,1,20,70,76,80,37,81,67,77,78,71,21,22,51,71,73,5,50,33,59,70,85,76,67,7,
166,48,163,56,139,154,5,83,162,81,161,172,158,160,157,155,5,152,156,158,169,148,27,92,156,164,165,156,153,142,141,113,148,160,87,52,152,143,51,85,121,65,161,158,35,156,157,156,149,123,149,159,143,84,140,130,157,161,146,148,66,52,161,120,164,69,125,158,162,104,155,154,19,64,76,12,164,100,164,164,169,148,142,104,167,135,165,162,130,127,160,166,152,162,151,161,150,148,16,61,
248,231,205,115,25,242,56,148,234,247,180,238,253,249,240,244,225,234,243,203,237,229,174,117,169,209,98,239,61,226,250,241,85,243,27,98,236,246,177,238,9,243,240,169,201,246,250,226,127,242,246,228,244,224,215,238,44,39,223,32,101,116,230,229,237,242,20,248,207,74,202,243,175,244,200,153,126,153,25,232,94,245,229,230,225,237,247,225,226,244,233,21,241,143,5,78,254,154,225,204,
316,329,318,89,50,223,328,321,324,21,315,310,278,140,319,319,317,335,112,325,287,301,316,318,336,307,4,211,27,327,312,321,321,321,322,163,23,234,136,318,332,298,244,336,294,328,319,278,322,306,327,190,320,181,2,280,326,206,135,311,265,44,248,315,325,71,118,9,162,318,84,328,308,242,316,321,305,335,312,114,324,311,302,326,112,283,318,294,82,315,6,239,294,316,336,322,329,316,325,226,
295,413,247,132,389,365,397,393,405,152,392,320,205,290,358,405,2,64,393,406,199,278,399,406,404,404,222,54,391,223,401,405,279,317,393,389,422,413,408,401,379,381,116,346,172,404,33,391,304,99,398,404,155,67,407,420,329,188,262,137,250,412,416,368,397,423,232,169,70,91,48,179,413,409,416,426,117,414,8,350,412,85,396,401,398,398,393,382,193,410,397,221,110,141,205,365,394,225,393,13,
218,264,489,129,475,483,461,460,477,478,479,504,457,109,271,112,487,100,461,467,97,496,349,410,143,378,494,483,477,41,277,397,470,465,480,480,319,489,280,475,471,369,193,487,471,30,493,320,315,336,499,494,496,314,234,212,247,404,473,453,489,489,492,491,146,136,124,471,395,54,82,502,236,417,481,298,486,481,300,483,495,291,210,407,455,173,475,376,124,482,359,462,431,354,489,93,473,383,492,109,
52,187,578,551,558,571,561,567,570,560,479,361,538,561,489,79,573,572,561,560,549,525,565,295,580,569,583,592,578,555,480,584,580,368,571,152,556,205,310,547,555,549,557,568,581,566,122,59,583,508,40,301,328,566,55,407,49,570,19,534,567,408,559,441,227,559,554,572,565,539,554,511,555,455,577,141,565,80,532,320,308,587,578,167,565,587,354,564,192,569,39,550,564,324,568,563,552,567,281,469,
666,671,311,613,649,396,654,527,659,643,641,635,493,642,129,519,640,83,649,72,674,2,678,635,635,511,636,646,603,653,659,121,418,160,319,42,323,660,132,664,252,652,640,450,655,627,640,53,66,658,491,649,443,433,291,654,467,672,649,553,661,46,648,648,639,442,352,656,282,655,497,644,655,637,614,555,627,650,612,356,290,652,437,648,69,664,485,3,665,656,409,645,661,146,640,409,123,58,636,482,
711,185,747,455,710,253,59,595,110,705,729,718,607,72,613,705,559,739,182,139,447,328,711,514,279,130,156,158,717,709,429,724,748,704,585,734,743,754,491,376,605,718,692,495,112,338,708,135,723,113,719,714,713,470,740,193,718,722,728,741,558,232,304,760,592,721,107,117,708,730,225,179,697,731,706,700,586,732,727,736,726,199,597,456,754,258,726,739,738,725,742,369,356,239,728,271,720,700,505,123,
298,267,175,828,27,832,433,755,828,837,466,800,812,634,780,280,251,569,806,820,558,792,804,294,347,800,750,827,796,808,820,64,810,89,422,825,836,813,825,808,776,816,659,531,129,202,793,784,824,327,350,816,812,825,403,813,824,768,765,36,824,644,791,826,790,428,785,818,102,818,361,799,800,433,145,236,797,807,829,224,824,828,813,791,167,818,796,479,393,2,576,821,128,835,804,643,592,394,820,583,
